qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H13,C2,E03,gBlocks,26.029,-0.091,STANDARD,25.990,1000,STANDARD,24.864,1000,STANDARD,26.152,1000
H13,C3,E03,gBlocks,26.048,-0.072,STANDARD,26.108,1000,STANDARD,25.026,1000,STANDARD,26.463,1000
H13,D1,E02,gBlocks,26.264,0.144,STANDARD,29.142,100,STANDARD,28.090,100,STANDARD,29.474,100
H13,D2,E02,gBlocks,26.070,-0.051,STANDARD,29.234,100,STANDARD,27.961,100,STANDARD,29.229,100
H13,D3,E02,gBlocks,26.142,0.021,STANDARD,29.238,100,STANDARD,28.035,100,STANDARD,29.288,100
H13,E1,E01,gBlocks,26.181,0.061,STANDARD,32.256,10,STANDARD,31.246,10,STANDARD,33.508,10
H13,E2,E01,gBlocks,26.070,-0.050,STANDARD,31.954,10,STANDARD,31.103,10,STANDARD,32.951,10
H13,E3,E01,gBlocks,26.225,0.104,STANDARD,32.788,10,STANDARD,31.273,10,STANDARD,32.450,10
H13,F1,5,gBlocks,26.426,0.305,STANDARD,34.031,5,STANDARD,31.949,5,STANDARD,34.108,5
H13,F2,5,gBlocks,26.111,-0.010,STANDARD,33.311,5,STANDARD,31.835,5,STANDARD,34.384,5
H13,F3,5,gBlocks,26.167,0.046,STANDARD,33.209,5,STANDARD,32.366,5,STANDARD,33.483,5
H13,G1,E00,gBlocks,26.095,-0.025,STANDARD,35.812,1,STANDARD,33.255,1,STANDARD,35.295,1
H13,G2,E00,gBlocks,26.066,-0.054,STANDARD,35.027,1,STANDARD,34.145,1,STANDARD,34.964,1
H13,G3,E00,gBlocks,26.248,0.128,STANDARD,36.367,1,STANDARD,34.589,1,STANDARD,34.860,1
H13,H1,E00,gBlocks,26.172,0.051,STANDARD,35.540,1,STANDARD,34.488,1,STANDARD,34.853,1
H13,H2,E00,gBlocks,26.107,-0.013,STANDARD,35.396,1,STANDARD,34.071,1,STANDARD,35.647,1
H13,H3,E00,gBlocks,26.183,0.063,STANDARD,34.794,1,STANDARD,35.291,1,STANDARD,35.407,1
H14,A1,E05,gBlocks,28.435,2.104,STANDARD,19.245,100000,STANDARD,18.449,100000,STANDARD,20.468,100000
H14,A2,E05,gBlocks,29.879,3.549,STANDARD,19.104,100000,STANDARD,18.203,100000,STANDARD,20.227,100000
H14,A3,E05,gBlocks,29.170,2.840,STANDARD,19.201,100000,STANDARD,18.312,100000,STANDARD,20.327,100000
H14,B1,E04,gBlocks,26.726,0.396,STANDARD,22.508,10000,STANDARD,21.559,10000,STANDARD,23.690,10000
H14,B2,E04,gBlocks,26.177,-0.153,STANDARD,22.425,10000,STANDARD,21.555,10000,STANDARD,23.615,10000
H14,B3,E04,gBlocks,25.932,-0.399,STANDARD,22.724,10000,STANDARD,21.751,10000,STANDARD,23.892,10000
H14,C1,E03,gBlocks,26.087,-0.243,STANDARD,25.690,1000,STANDARD,24.791,1000,STANDARD,26.916,1000
H14,C2,E03,gBlocks,26.081,-0.249,STANDARD,25.911,1000,STANDARD,24.936,1000,STANDARD,26.966,1000
H14,C3,E03,gBlocks,26.216,-0.114,STANDARD,26.030,1000,STANDARD,24.986,1000,STANDARD,27.074,1000
H14,D1,E02,gBlocks,26.415,0.085,STANDARD,29.211,100,STANDARD,28.235,100,STANDARD,30.190,100
H14,D2,E02,gBlocks,26.437,0.106,STANDARD,29.218,100,STANDARD,28.096,100,STANDARD,30.378,100
H14,D3,E02,gBlocks,26.446,0.116,STANDARD,29.470,100,STANDARD,28.234,100,STANDARD,30.555,100
H14,E1,E01,gBlocks,26.341,0.010,STANDARD,32.367,10,STANDARD,31.330,10,STANDARD,34.438,10
H14,E2,E01,gBlocks,26.450,0.120,STANDARD,32.552,10,STANDARD,31.101,10,STANDARD,34.165,10
H14,E3,E01,gBlocks,26.454,0.124,STANDARD,32.677,10,STANDARD,31.056,10,STANDARD,34.232,10
H14,F1,5,gBlocks,26.383,0.053,UNKNOWN,32.056,15.55328846,STANDARD,31.725,5,STANDARD,34.322,5
H14,F2,5,gBlocks,26.190,-0.141,STANDARD,33.671,5,STANDARD,32.145,5,STANDARD,34.364,5
H14,F3,5,gBlocks,26.378,0.047,STANDARD,33.865,5,STANDARD,32.010,5,STANDARD,34.778,5
H14,G1,E00,gBlocks,26.461,0.131,STANDARD,37.169,1,STANDARD,34.422,1,STANDARD,Undetermined,1
H14,G2,E00,gBlocks,26.257,-0.074,STANDARD,37.072,1,STANDARD,34.650,1,STANDARD,37.004,1
H14,G3,E00,gBlocks,26.429,0.098,STANDARD,35.842,1,STANDARD,34.632,1,STANDARD,35.953,1
H14,H1,E00,gBlocks,26.340,0.009,STANDARD,36.197,1,STANDARD,33.635,1,STANDARD,Undetermined,1
H14,H2,E00,gBlocks,26.358,0.028,STANDARD,34.632,1,STANDARD,35.054,1,STANDARD,36.629,1
H14,H3,E00,gBlocks,26.348,0.018,STANDARD,Undetermined,1,STANDARD,36.535,1,STANDARD,Undetermined,1
H15,A1,E05,gBlocks,30.512,4.056,STANDARD,19.776,100000,STANDARD,18.771,100000,STANDARD,20.264,100000
