qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H13,A3,E05,gBlocks,29.91046333,3.790,STANDARD,19.49994469,100000,STANDARD,18.49568939,100000,STANDARD,19.86270332,100000
H13,B1,E04,gBlocks,26.33827972,0.218,STANDARD,22.7519722,10000,STANDARD,21.80370522,10000,STANDARD,23.1190567,10000
H13,B2,E04,gBlocks,26.24484253,0.124,STANDARD,22.71583939,10000,STANDARD,21.7623539,10000,STANDARD,23.10343742,10000
H13,B3,E04,gBlocks,26.08064842,-0.040,STANDARD,22.77783203,10000,STANDARD,21.78930283,10000,STANDARD,23.11981773,10000
H13,C1,E03,gBlocks,25.93229866,-0.188,STANDARD,26.01634216,1000,STANDARD,24.9503231,1000,STANDARD,26.37134933,1000
H13,C2,E03,gBlocks,26.0290451,-0.091,STANDARD,25.98993301,1000,STANDARD,24.86426926,1000,STANDARD,26.15225601,1000
H13,C3,E03,gBlocks,26.04836273,-0.072,STANDARD,26.10833549,1000,STANDARD,25.02597618,1000,STANDARD,26.46336937,1000
H13,D1,E02,gBlocks,26.26412201,0.144,STANDARD,29.14172745,100,STANDARD,28.08980751,100,STANDARD,29.47395706,100
H13,D2,E02,gBlocks,26.06950569,-0.051,STANDARD,29.23369026,100,STANDARD,27.96145058,100,STANDARD,29.2292366,100
H13,D3,E02,gBlocks,26.1415062,0.021,STANDARD,29.23819351,100,STANDARD,28.0351162,100,STANDARD,29.28761673,100
H13,E1,E01,gBlocks,26.1811142,0.061,STANDARD,32.25624466,10,STANDARD,31.24583435,10,STANDARD,33.5083046,10
H13,E2,E01,gBlocks,26.07032013,-0.050,STANDARD,31.95430946,10,STANDARD,31.10277367,10,STANDARD,32.95135498,10
H13,E3,E01,gBlocks,26.22455406,0.104,STANDARD,32.7879982,10,STANDARD,31.27320862,10,STANDARD,32.44958496,10
H13,F1,5,gBlocks,26.42556,0.305,STANDARD,34.03087616,5,STANDARD,31.94930458,5,STANDARD,34.10783768,5
H13,F2,5,gBlocks,26.11065292,-0.010,STANDARD,33.31084061,5,STANDARD,31.83453369,5,STANDARD,34.3836937,5
H13,F3,5,gBlocks,26.16667366,0.046,STANDARD,33.2088623,5,STANDARD,32.36606598,5,STANDARD,33.48325729,5
H13,G1,E00,gBlocks,26.09544945,-0.025,STANDARD,35.81244278,1,STANDARD,33.25524139,1,STANDARD,35.29522705,1
H13,G2,E00,gBlocks,26.06615257,-0.054,STANDARD,35.02724075,1,STANDARD,34.14524078,1,STANDARD,34.96366119,1
H13,G3,E00,gBlocks,26.24829865,0.128,STANDARD,36.36685181,1,STANDARD,34.58920288,1,STANDARD,34.85979462,1
H13,H1,E00,gBlocks,26.17157936,0.051,STANDARD,35.53960037,1,STANDARD,34.48839951,1,STANDARD,34.85264969,1
H13,H2,E00,gBlocks,26.10723686,-0.013,STANDARD,35.39601517,1,STANDARD,34.07136154,1,STANDARD,35.64720535,1
H13,H3,E00,gBlocks,26.18334198,0.063,STANDARD,34.79432297,1,STANDARD,35.29133606,1,STANDARD,35.40681458,1
