Sample_name,Locus,Hash,nReads
1002.1,16S_Prey,c3d3b2af64f1d48b31ce3b6383555dbe3310abe7,240
1002.1,16S_Prey,729f0269f735e3de3e873b58f51491eeaf53224c,224
1002.1,16S_Prey,cbe943fb16a3f2908f2dcac8761cee43d2ddd3b3,215
1002.1,16S_Prey,89dc3855c5773c77d04148870a0ee186eb21c47a,150
1002.1,16S_Prey,e49622f1cbeb7b49fc4f1768bf7962c3bcb89a28,114
1002.1,16S_Prey,fb9b2b9e11d8c33bfc3cdf49ba00d97dd3dccc8a,104
1002.1,16S_Prey,8a9f46ee978316b7c650945ccbc965281aab3d6b,49
1002.1,16S_Prey,c998bdf87b3bd40cc2e37116a134dcac8268ee1e,37
1002.1,16S_Prey,b2da299f6f49354e6667dfc355b39a9961436f68,4
1002.2,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,3340
1002.2,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,28385
1002.2,16S_Prey,5b200d548c31cd50022eadb25901e3f305130f1e,11942
1002.2,16S_Prey,dcd5c0624182972839c97ca4bb77e8fac0372896,4408
1002.2,16S_Prey,74066494c72c1695219c035c049f10e696375826,997
1002.2,16S_Prey,2dc7b1c32e68a132f7b42b1acaf4aa5680d5f381,7158
1002.2,16S_Prey,30a3ed2122d9734df38fac9e672ea61193e80385,747
1002.2,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,73
1002.2,16S_Prey,5a00d676da3b05d2f0a98c517f95b1cb3602bf41,4651
1002.2,16S_Prey,995d2c784f73e37d57f2e2557ee3a318ecce3515,675
1002.2,16S_Prey,0fb7373623f7053e86bca22cd20c8e72452b977d,1785
1002.2,16S_Prey,4450bad1f8e6c34ecbe14e051d49e49d67a7d0d6,381
1002.2,16S_Prey,664ddb92d7c9c5b2ff9eb159f807fda88d430f9b,360
1002.2,16S_Prey,86b53c79f96ba9b61a929876c5cf89c4464b0c67,335
1002.2,16S_Prey,72c1dd9d9afb310cf4d4ad40d8ca066ecd765d00,263
1002.2,16S_Prey,37c145c2eaf6cd16036ea6d3fbb6ff1a185b113a,198
