Hash,class,order,family,genus,species,origin
00985d574c2cca2db1c6b930ad696193cfd55cf0,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,Lipolagus ochotensis,blast
169a2874381aee749eb0581d00e78394aad0b35e,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,Lipolagus ochotensis,blast
ac6d006a8f0ce76ddb8eaf7f1eddf3625792babc,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,Lipolagus ochotensis,blast
d502b0868c2d6bf28ca1ce6d062d6835219e05de,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,Lipolagus ochotensis,blast
40acaabc384d653d49dc12ab18e3249673654feb,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
514ea6b7e9913e1d12d47fa0969e7e4733f83bd7,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
b1c233ec989c1186eb00d878647363c47c596d72,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
b29e0d4242aa9f5cc64531e8edf7b1d75dd5fd6e,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
5e2bd295a3603b1a9b4a9fd34ce847893eec13d0,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
47801584db5eec4e14952cb2d6f9d3dfd9558be7,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
2d305ba7668ab38118731ffb34f4b0672f22ef77,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
27ad0cf73a1459ac062bd4721d9fa264c66e0394,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
1881f7edfa5d5baa3f6a18ece3adb9526d15a8d2,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
ff75f1b8992f8a22e3636daf798c76b01ce412aa,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
70da0f53974411532fa1de9c0a737576681151fd,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
1a667a48bfb054d6aafa25fa070eaca590717274,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
1ce591dfcf11b0ba694a8ddfb5d35f3c37b267b9,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
a30adb919c44cffcf1a7d477e44125210b257e0a,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
6d636b5c21243bb8520373fd8ba03e72797d18ec,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
c37d2a6f4d31f8738cd9a620c86a1501821fda4f,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
7004c9020129730a15591bc0c16bcc6ae8830fcf,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
5379b4a43f46ffe46bf577be71b35225dc3d3209,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
9c0dd4c579918663c7274152c3e40a60a9c754a6,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
8a6649c5c76291f80143e3f68e68c6e2b05ddd91,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
6301e8427d39532db9d72558e48efd9d5c624247,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
c796869962f75c4a29aded56d5bfa09864777197,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
7c977398e9ea9f29747ccbd38815f22db5e0c0e3,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,blast
09634633b62eea664914842a286ee6c7ee969234,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
f2e66ec9175c8ca9f008dee85626d763ba3f05e1,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
e44acccafae83667eeb7061f818a0a871859aea9,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
d64f57b9e4172ed681164b5a6e4d0e81bdb6b4de,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
c43300ef437d3b01115b5ffe202bef0d5eddeea9,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
7b5ac152cfbc03ab338ef5b670d3414d72222b9c,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
93f5f9f240c683e0f38206ead5425212795c75bd,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
4573516d722257ade7607bf23726ea625de3d2c8,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
aca8a72c44af85abba3e36c52b0907f13f6445bf,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
a720a0a797d4bdb0a64e1de4771a16d36f22c0e5,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
1fb7745dc0e136bb6850f53b18fad82da42b667f,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
5460637e842e926da6642f216dbd41ed2c5dcb81,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
4b5a6b8940bb845f11c0e78ed55596202b8e97d3,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
