Date UTC,Tube #,CTD cast,Niskin,depth,comments,extraction,comments,qubit (ng/ul),water filtered (L),elution (ul),Fluor,Zymo columns
7/5/2019,128,27-1,1,35,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,2.00754,
7/5/2019,129,27-1,2,35,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,2.00754,
7/5/2019,130,27-1,3,25,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.68962,
7/5/2019,131,27-1,4,25,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.68962,
7/5/2019,132,27-1,5,sfc,ST,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.74928,
7/5/2019,133,27-1,6,sfc,ST,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.74928,
7/5/2019,134,27-1,sfc,sfc,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.74928,
7/5/2019,135,27-1,sfc,sfc,,1/8/2020,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.74928,Yes
7/6/2019,136,29-1,1,45,,1/8/2020,"No visible pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.12032,
7/6/2019,137,29-1,2,45,,1/9/2020,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.12032,
7/6/2019,138,29-1,3,25,,1/9/2020,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.70308,
7/6/2019,139,29-1,4,25,,1/9/2020,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.70308,
7/6/2019,140,29-1,5,sfc,,1/8/2020,"Brown pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,1.47941,
7/6/2019,141,29-1,6,sfc,,1/9/2020,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,1.47941,
7/6/2019,142,29-1,sfc,sfc,,1/9/2020,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,1.47941,
7/6/2019,143,29-1,sfc,sfc,,1/9/2020,"Dark pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,,1.47941,
7/6/2019,144,29-2,1,145,,1/9/2020,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,-0.0016,
7/6/2019,145,29-2,2,145,,1/9/2020,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,-0.0016,
7/6/2019,146,29-2,3,100,,1/9/2020,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.006,
7/6/2019,147,29-2,4,100,,1/9/2020,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.006,
7/6/2019,148,29-2,5,50,,1/9/2020,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.00282,
7/6/2019,149,29-2,6,50,,1/9/2020,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.00282,
7/6/2019,150,29-2,sfc,sfc,,1/9/2020,"Extraction btach 137-153, extraction neg with this batch.",,2.5,,12.1975,Yes
7/6/2019,151,29-2,sfc,sfc,,1/9/2020,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,,12.1975,Yes
7/6/2019,152,29-4,1,475,,1/9/2020,"Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.01932,
7/6/2019,153,29-4,2,475,,1/9/2020,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,,0.01932,
7/6/2019,154,29-4,3,280,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.00863,
7/6/2019,155,29-4,4,280,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.00863,
7/6/2019,156,29-4,5,150,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.0025,
7/6/2019,157,29-4,6,150,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.0025,
7/6/2019,158,29-4,7,100,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,-0.0071,
7/6/2019,159,29-4,8,100,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,-0.0071,
7/6/2019,160,29-4,9,50,~2.4 L,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.01383,
7/6/2019,161,29-4,10,50,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.01383,
7/6/2019,162,29-4,sfc,sfc,,1/13/2020,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 154-168 plus neg.,,2.5,,10.4112,Yes
7/6/2019,163,29-4,sfc,sfc,,1/13/2020,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 154-168 plus neg.,,2.5,,10.4112,Yes
7/6/2019,164,-,-,-,"Evap DI water, ~2L",1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,,
7/6/2019,165,-,-,-,Lab DI water,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,,
7/6/2019,166,29-6,1,500,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.01153,
7/6/2019,167,29-6,2,500,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.01153,
7/6/2019,168,29-6,3,300,,1/13/2020,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,,0.00959,
7/6/2019,169,29-6,4,300,ST,1/13/2020,No vis pellet. Extraction batch 169-184.,,2.5,,0.00959,
7/6/2019,170,29-6,5,150,ST,1/13/2020,No vis pellet. Extraction batch 169-184.,,2.5,,0.01787,
7/6/2019,171,29-6,6,150,ST,1/13/2020,No vis pellet. Extraction batch 169-184.,,2.5,,0.01787,
7/6/2019,172,29-6,7,100,ST,1/13/2020,No vis pellet. Extraction batch 169-184.,,2.5,,0.04238,
7/6/2019,173,29-6,8,100,,1/13/2020,Extraction batch 169-184.,,2.5,,0.04238,
7/6/2019,174,29-6,9,50,,1/13/2020,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 169-184.,,2.5,,1.48859,Yes
7/6/2019,175,29-6,10,50,,1/13/2020,Extraction batch 169-184.,,2.5,,1.48859,Yes
