eDNA.sample,rep,Transect,position,depth,func.group,nReads
462,1,39,1,0,Marine; bathypelagic,0
462,1,39,1,0,Coastal; demersal,0
462,2,39,1,0,Marine; benthopelagic,0
462,2,39,1,0,Open; demersal,0
462,2,39,1,0,Coastal;pelagic-neritic,0
462,2,39,1,0,Marine; pelagic-oceanic,186983
462,2,39,1,0,Open; pelagic-neritic,0
462,2,39,1,0,Coastal; benthopelagic,0
462,2,39,1,0,Marine; bathypelagic,0
462,2,39,1,0,Coastal; demersal,0
463,1,39,1,0,Marine; benthopelagic,0
463,1,39,1,0,Open; demersal,0
463,1,39,1,0,Coastal;pelagic-neritic,21951
463,1,39,1,0,Marine; pelagic-oceanic,10454
463,1,39,1,0,Open; pelagic-neritic,0
463,1,39,1,0,Coastal; benthopelagic,47121
463,1,39,1,0,Marine; bathypelagic,0
463,1,39,1,0,Coastal; demersal,0
463,2,39,1,0,Marine; benthopelagic,0
463,2,39,1,0,Open; demersal,8027
463,2,39,1,0,Coastal;pelagic-neritic,0
463,2,39,1,0,Marine; pelagic-oceanic,0
463,2,39,1,0,Open; pelagic-neritic,0
463,2,39,1,0,Coastal; benthopelagic,158652
463,2,39,1,0,Marine; bathypelagic,0
463,2,39,1,0,Coastal; demersal,0
478,1,39,5,500,Marine; benthopelagic,0
478,1,39,5,500,Open; demersal,8
478,1,39,5,500,Coastal;pelagic-neritic,0
478,1,39,5,500,Marine; pelagic-oceanic,29
478,1,39,5,500,Open; pelagic-neritic,103496
478,1,39,5,500,Coastal; benthopelagic,0
478,1,39,5,500,Marine; bathypelagic,58509
478,1,39,5,500,Coastal; demersal,0
478,2,39,5,500,Marine; benthopelagic,0
478,2,39,5,500,Open; demersal,12
478,2,39,5,500,Coastal;pelagic-neritic,0
478,2,39,5,500,Marine; pelagic-oceanic,0
478,2,39,5,500,Open; pelagic-neritic,34196
478,2,39,5,500,Coastal; benthopelagic,0
478,2,39,5,500,Marine; bathypelagic,0
478,2,39,5,500,Coastal; demersal,0
479,1,39,5,500,Marine; benthopelagic,0
479,1,39,5,500,Open; demersal,0
479,1,39,5,500,Coastal;pelagic-neritic,0
479,1,39,5,500,Marine; pelagic-oceanic,0
479,1,39,5,500,Open; pelagic-neritic,30081
