Sample_name,Locus,file1,file2
1205.1,16S_Prey,Locus_16S_Prey_1205-1_S136_L001_R1_001.fastq,Locus_16S_Prey_1205-1_S136_L001_R2_001.fastq
1206.1,16S_Prey,Locus_16S_Prey_1206-1_S137_L001_R1_001.fastq,Locus_16S_Prey_1206-1_S137_L001_R2_001.fastq
1540.1,16S_Prey,Locus_16S_Prey_1540-1_S138_L001_R1_001.fastq,Locus_16S_Prey_1540-1_S138_L001_R2_001.fastq
1542.3,16S_Prey,Locus_16S_Prey_1542-3_S139_L001_R1_001.fastq,Locus_16S_Prey_1542-3_S139_L001_R2_001.fastq
1547.1,16S_Prey,Locus_16S_Prey_1547-1_S140_L001_R1_001.fastq,Locus_16S_Prey_1547-1_S140_L001_R2_001.fastq
1548.1,16S_Prey,Locus_16S_Prey_1548-1_S141_L001_R1_001.fastq,Locus_16S_Prey_1548-1_S141_L001_R2_001.fastq
782.3,16S_Prey,Locus_16S_Prey_782-3_S142_L001_R1_001.fastq,Locus_16S_Prey_782-3_S142_L001_R2_001.fastq
T+.3,16S_Prey,Locus_16S_Prey_T-3_S143_L001_R1_001.fastq,Locus_16S_Prey_T-3_S143_L001_R2_001.fastq
T+.4,16S_Prey,Locus_16S_Prey_T-4_S144_L001_R1_001.fastq,Locus_16S_Prey_T-4_S144_L001_R2_001.fastq
Undetermined,16S_Prey,Locus_16S_Prey_Undetermined_S0_L001_R1_001.fastq,Locus_16S_Prey_Undetermined_S0_L001_R2_001.fastq
