qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H11,E3,E01,gBlocks,26.36122322,0.230275869,STANDARD,32.77703094,10,STANDARD,31.69382858,10,STANDARD,33.72949219,10
H11,F1,5,gBlocks,26.35439873,0.223451376,STANDARD,32.90293121,5,STANDARD,32.87976456,5,STANDARD,34.66492462,5
H11,F2,5,gBlocks,26.39188385,0.260936499,STANDARD,33.28230667,5,STANDARD,32.8225174,5,STANDARD,34.86914825,5
H11,F3,5,gBlocks,26.31341362,0.182466269,STANDARD,33.4274559,5,STANDARD,32.20907974,5,STANDARD,34.72941589,5
H11,G1,E00,gBlocks,26.46989632,0.338948965,STANDARD,35.74461746,1,STANDARD,36.23417664,1,STANDARD,36.10154343,1
H11,G2,E00,gBlocks,26.29982185,0.168874502,STANDARD,35.31903076,1,STANDARD,34.15987778,1,STANDARD,36.2490921,1
H11,G3,E00,gBlocks,26.48319626,0.352248907,STANDARD,34.59737396,1,STANDARD,34.88951111,1,STANDARD,Undetermined,1
H11,H1,E00,gBlocks,26.3101902,0.179242849,STANDARD,35.83089066,1,STANDARD,34.78654099,1,STANDARD,37.15288544,1
H11,H2,E00,gBlocks,26.45437431,0.323426962,STANDARD,Undetermined,1,STANDARD,36.27298355,1,STANDARD,Undetermined,1
H11,H3,E00,gBlocks,26.3509655,0.220018148,STANDARD,Undetermined,1,STANDARD,35.1424408,1,STANDARD,Undetermined,1
H12,A1,E05,gBlocks,30.96586609,4.705879484,STANDARD,19.85321808,100000,STANDARD,18.70928764,100000,STANDARD,19.79907036,100000
H12,A2,E05,gBlocks,31.72607803,5.466091428,STANDARD,19.63732719,100000,STANDARD,18.43479156,100000,STANDARD,19.51698875,100000
H12,A3,E05,gBlocks,30.50804138,4.248054777,STANDARD,19.80149269,100000,STANDARD,18.53935432,100000,STANDARD,19.66368484,100000
H12,B1,E04,gBlocks,26.60544777,0.345461164,STANDARD,22.9395256,10000,STANDARD,21.71266937,10000,STANDARD,22.80802917,10000
H12,B2,E04,gBlocks,26.65787697,0.397890363,STANDARD,22.92280769,10000,STANDARD,21.73892021,10000,STANDARD,22.87776184,10000
H12,B3,E04,gBlocks,26.405756,0.145769392,STANDARD,23.01599693,10000,STANDARD,21.82800102,10000,STANDARD,22.94182205,10000
H12,C1,E03,gBlocks,26.33629227,0.076305662,STANDARD,26.19737053,1000,STANDARD,24.98273277,1000,STANDARD,26.06750107,1000
H12,C2,E03,gBlocks,26.20961571,-0.050370898,STANDARD,26.1782589,1000,STANDARD,24.95059204,1000,STANDARD,25.90209198,1000
H12,C3,E03,gBlocks,26.14895058,-0.111036028,STANDARD,26.147995,1000,STANDARD,24.89385414,1000,STANDARD,25.98443222,1000
H12,D1,E02,gBlocks,26.34310913,0.083122526,STANDARD,29.43157768,100,STANDARD,28.11824799,100,STANDARD,29.03404617,100
H12,D2,E02,gBlocks,26.3373909,0.077404295,STANDARD,29.38986206,100,STANDARD,28.00630569,100,STANDARD,28.99805641,100
H12,D3,E02,gBlocks,26.41640091,0.156414304,STANDARD,29.41577148,100,STANDARD,27.80508995,100,STANDARD,28.90181541,100
H12,E1,E01,gBlocks,26.35840797,0.098421369,STANDARD,32.52304077,10,STANDARD,31.17988396,10,STANDARD,32.16638947,10
H12,E2,E01,gBlocks,26.42823601,0.168249403,STANDARD,32.40924454,10,STANDARD,31.11594391,10,STANDARD,32.40883636,10
H12,E3,E01,gBlocks,26.39428902,0.134302412,STANDARD,33.32644272,10,STANDARD,31.03432655,10,STANDARD,32.08592224,10
H12,F1,5,gBlocks,26.32902527,0.069038664,STANDARD,33.66482544,5,STANDARD,31.81855774,5,STANDARD,34.55466461,5
H12,F2,5,gBlocks,26.44880104,0.188814436,STANDARD,33.10241699,5,STANDARD,32.23007965,5,STANDARD,33.63511276,5
H12,F3,5,gBlocks,26.31466866,0.05468205,STANDARD,33.13391495,5,STANDARD,32.11647415,5,STANDARD,33.06245422,5
H12,G1,E00,gBlocks,26.43084526,0.170858656,STANDARD,35.38401031,1,STANDARD,34.33909607,1,STANDARD,35.08187485,1
H12,G2,E00,gBlocks,26.42449951,0.164512907,STANDARD,34.92782593,1,STANDARD,34.32981491,1,STANDARD,34.04663849,1
H12,G3,E00,gBlocks,26.34375,0.083763395,STANDARD,36.72392273,1,STANDARD,34.81864929,1,STANDARD,35.18103027,1
H12,H1,E00,gBlocks,26.32691765,0.066931043,STANDARD,34.82913208,1,STANDARD,34.34836197,1,STANDARD,35.659935,1
H12,H2,E00,gBlocks,26.4708252,0.21083859,STANDARD,35.9516983,1,STANDARD,34.48860168,1,STANDARD,36.38441086,1
H12,H3,E00,gBlocks,26.47907066,0.219084058,STANDARD,36.89450836,1,STANDARD,34.29190826,1,STANDARD,36.41252899,1
H13,A1,E05,gBlocks,29.24936295,3.128857374,STANDARD,19.63160515,100000,STANDARD,18.74170303,100000,STANDARD,20.05805969,100000
H13,A2,E05,gBlocks,30.83805656,4.717550993,STANDARD,19.44095039,100000,STANDARD,18.47117233,100000,STANDARD,19.83719254,100000
H13,A3,E05,gBlocks,29.91046333,3.789957762,STANDARD,19.49994469,100000,STANDARD,18.49568939,100000,STANDARD,19.86270332,100000
H13,B1,E04,gBlocks,26.33827972,0.217774153,STANDARD,22.7519722,10000,STANDARD,21.80370522,10000,STANDARD,23.1190567,10000
H13,B2,E04,gBlocks,26.24484253,0.124336958,STANDARD,22.71583939,10000,STANDARD,21.7623539,10000,STANDARD,23.10343742,10000
H13,B3,E04,gBlocks,26.08064842,-0.039857149,STANDARD,22.77783203,10000,STANDARD,21.78930283,10000,STANDARD,23.11981773,10000
H13,C1,E03,gBlocks,25.93229866,-0.188206911,STANDARD,26.01634216,1000,STANDARD,24.9503231,1000,STANDARD,26.37134933,1000
H13,C2,E03,gBlocks,26.0290451,-0.091460466,STANDARD,25.98993301,1000,STANDARD,24.86426926,1000,STANDARD,26.15225601,1000
H13,C3,E03,gBlocks,26.04836273,-0.072142839,STANDARD,26.10833549,1000,STANDARD,25.02597618,1000,STANDARD,26.46336937,1000
H13,D1,E02,gBlocks,26.26412201,0.143616438,STANDARD,29.14172745,100,STANDARD,28.08980751,100,STANDARD,29.47395706,100
H13,D2,E02,gBlocks,26.06950569,-0.05099988,STANDARD,29.23369026,100,STANDARD,27.96145058,100,STANDARD,29.2292366,100
H13,D3,E02,gBlocks,26.1415062,0.021000624,STANDARD,29.23819351,100,STANDARD,28.0351162,100,STANDARD,29.28761673,100
H13,E1,E01,gBlocks,26.1811142,0.060608625,STANDARD,32.25624466,10,STANDARD,31.24583435,10,STANDARD,33.5083046,10
H13,E2,E01,gBlocks,26.07032013,-0.050185442,STANDARD,31.95430946,10,STANDARD,31.10277367,10,STANDARD,32.95135498,10
H13,E3,E01,gBlocks,26.22455406,0.104048491,STANDARD,32.7879982,10,STANDARD,31.27320862,10,STANDARD,32.44958496,10
H13,F1,5,gBlocks,26.42556,0.305054426,STANDARD,34.03087616,5,STANDARD,31.94930458,5,STANDARD,34.10783768,5
H13,F2,5,gBlocks,26.11065292,-0.009852648,STANDARD,33.31084061,5,STANDARD,31.83453369,5,STANDARD,34.3836937,5
H13,F3,5,gBlocks,26.16667366,0.046168089,STANDARD,33.2088623,5,STANDARD,32.36606598,5,STANDARD,33.48325729,5
H13,G1,E00,gBlocks,26.09544945,-0.025056124,STANDARD,35.81244278,1,STANDARD,33.25524139,1,STANDARD,35.29522705,1
H13,G2,E00,gBlocks,26.06615257,-0.054352999,STANDARD,35.02724075,1,STANDARD,34.14524078,1,STANDARD,34.96366119,1
H13,G3,E00,gBlocks,26.24829865,0.127793074,STANDARD,36.36685181,1,STANDARD,34.58920288,1,STANDARD,34.85979462,1
H13,H1,E00,gBlocks,26.17157936,0.05107379,STANDARD,35.53960037,1,STANDARD,34.48839951,1,STANDARD,34.85264969,1
H13,H2,E00,gBlocks,26.10723686,-0.013268709,STANDARD,35.39601517,1,STANDARD,34.07136154,1,STANDARD,35.64720535,1
H13,H3,E00,gBlocks,26.18334198,0.062836409,STANDARD,34.79432297,1,STANDARD,35.29133606,1,STANDARD,35.40681458,1
